"ItemCode","Penetration","Order","PEN"
"352775",15575,2075594,0.00750387599887069
"106668",15413,2075594,0.0074258260526866
"314760",14924,2075594,0.00719023084476058
"106667",13729,2075594,0.00661449204420518
"352774",12021,2075594,0.00579159508073352
"351089",10341,2075594,0.00498218823141713
"256923",10113,2075594,0.0048723401590099
"153500",9229,2075594,0.00444643798353628
"222962",9226,2075594,0.0044449926141625
"274518",8977,2075594,0.00432502695613882
"301105",8267,2075594,0.00398295620434439
"255690",7384,2075594,0.00355753581866203
"301106",7113,2075594,0.00342697078523064
"301104",7012,2075594,0.0033783100163134
"222961",6478,2075594,0.00312103426778069
"336567",6097,2075594,0.00293747235731073
"255691",6083,2075594,0.00293072730023309
"234284",5998,2075594,0.00288977516797601
"332974",5837,2075594,0.00281220701158319
"332975",5680,2075594,0.00273656601435541
"351068",5649,2075594,0.00272163053082636
"349560",5581,2075594,0.00268886882502069
"48674",5468,2075594,0.00263442657860834
"202316",5388,2075594,0.00259588339530756
"171722",5361,2075594,0.00258287507094355
"336566",5325,2075594,0.0025655306384582
"171721",5088,2075594,0.00245134645792963
"108692",5084,2075594,0.00244941929876459
"367066",4912,2075594,0.00236655145466792
"233231",4821,2075594,0.00232270858366328
"234283",4772,2075594,0.00229910088389155
"312284",4637,2075594,0.00223405926207148
"202043",4592,2075594,0.0022123787214648
"349559",4513,2075594,0.00217431732795527
"294036",4029,2075594,0.00194113106898555
"212397",3911,2075594,0.0018842798736169
"260352",3788,2075594,0.00182501972929195
"138699",3740,2075594,0.00180189381931148
"325965",3625,2075594,0.00174648799331661
"349558",3540,2075594,0.00170553586105953
"260354",3407,2075594,0.00164145781882199
"48676",3394,2075594,0.00163519455153561
"71478",3380,2075594,0.00162844949445797
"353834",3217,2075594,0.00154991775848263
"244921",3178,2075594,0.0015311279566235
"376190",3173,2075594,0.0015287190076672
"304609",3118,2075594,0.00150222056914792
"294038",3096,2075594,0.0014916211937402
"376191",3063,2075594,0.00147572213062863
"349562",3061,2075594,0.00147475855104611
"260353",2974,2075594,0.00143284283920651
"324070",2880,2075594,0.00138755459882809
"225802",2865,2075594,0.0013803277519592
"367067",2847,2075594,0.00137165553571652
"376189",2838,2075594,0.00136731942759518
"71479",2797,2075594,0.00134756604615353
"212073",2674,2075594,0.00128830590182858
